coming_soon,street_address_1,street_address_2,city,state,station_name,zip,longitude,latitude,num_chargers,availability,power_kW,amenities,link
False,FAIRFIELD INN21282 Athens-Limestone Blvd.,,Athens,AL,"Athens, AL Supercharger",35613,-86.942864,34.785416,8,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/athensalsupercharger
False,Tiger Crossing Shopping Center1617  South College Street,,Auburn,AL,"Auburn, AL - South College Street Supercharger",36832,-85.498239,32.576339,12,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/AuburnALSupercharger22
False,Auburn Mall1627 Opelika Road,,Auburn,AL,"Auburn, AL Supercharger",36830-2871,-85.445105,32.627837,6,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/auburnalsupercharger
False,Uptown Entertainment District2221 Richard Arrington Junior Blvd.,,Birmingham,AL,"Birmingham, AL Supercharger",35203-1103,-86.807072,33.525826,8,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/birminghamalsupercharger
False,Holiday Inn Express & Suites Tuscaloosa 6350  Interstate Drive,,Cottondale,AL,"Cottondale, AL Supercharger",35453,-87.450076,33.17466,8,available 24/7,250,"wifi,lodging,beverage,restrooms",http://tesla.com/findus/location/supercharger/tuscaloosasupercharger
True,,,Dothan,AL,,,,,,,,,http://tesla.com/findus/location/supercharger/DothanALsupercharger
True,,,Dothan,AL,,,,,,,,,http://tesla.com/findus/location/supercharger/26425
False,Hampton Inn Greenville219 Interstate Drive,,Greenville,AL,Greenville Supercharger,36037,-86.635765,31.855989,6,available 24/7,150,"wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/greenvillealsupercharger
False,MidCity District5909 University Dr,,Huntsville,AL,"Huntsville, AL Supercharger",35806,-86.665899,34.740608,12,available 24/7,250,"restaurants,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/HuntsvilleALSupercharger
False,,,,AL,"Leeds, AL Supercharger",not available,-86.587744,33.542762,not available,not available,not available,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/LeedsALSupercharger
False,The Bel Air Mall3201 Airport Blvd,,Mobile,AL,Mobile Supercharger,36606-3202,-88.118644,30.671556,8,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/mobilealsupercharger
False,Target2567 Berryhill Road,,Montgomery,AL,"Montgomery, AL Supercharger",36117,-86.161109,32.361242,12,available 24/7,250,"wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/MontgomeryALsupercharger
False,Lane Parke Shopping Mall1000 Jemison Lane,,Mountain Brook,AL,"Mountain Brook, AL Supercharger",35223,-86.772687,33.4866751,8,available 24/7,250,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/MountainBrookALSupercharger
False,Oxford Exchange1105 Oxford Exchange Blvd,,Oxford,AL,"Oxford, AL Supercharger",36203-0000,-85.782118,33.609937,12,available 24/7,150,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/oxfordalsupercharger
False,Buc-ee's20403  Co Road 68,,Robertsdale,AL,"Robertsdale, AL Supercharger",36567,-87.67599,30.6332448,16,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/RobertsdaleALSupercharger
False,Love's Travel Stop905 Steele Station Road,,Steele,AL,Steele Supercharger,35987,-86.191611,33.933824,8,available 24/7,150,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/steelesupercharger
False,Whistle Stop43540 Kleeb Loop,,Soldotna,AK,"Soldotna, AK Supercharger",99669,-151.046128,60.494624,4,available 24/7,250,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/SoldotnaAKsupercharger
False,Carl's Jr. - Sundance Towne Center416  S Watson Rd,,Buckeye,AZ,"Buckeye, AZ Supercharger",85326-3419,-112.556876,33.443011,"4,8","available 24/7,available 24/7","250,150","restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/buckeyesupercharger
False,Culver's2453 E. Florence Blvd,,Casa Grande,AZ,"Casa Grande, AZ Supercharger",85194-5429,-111.681694,32.878773,6,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/casagrandesupercharger
False,Shell & Subway Travel Center14925 Cordes Lakes Rd,,Mayer,AZ,"Cordes Lakes, AZ Supercharger",86333,-112.11846,34.32753,8,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/cordeslakessupercharger
False,Flying J Travel Center11 Frontage Road North,,Ehrenberg,AZ,"Ehrenberg, AZ Supercharger",85334,-114.522011,33.601995,8,available 24/7,250,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/ehrenburgazsupercharger
False,Courtyard Marriott Flagstaff2650 South Beulah Blvd,,Flagstaff,AZ,"Flagstaff, AZ Supercharger",86001-8924,-111.663194,35.174151,12,available 24/7,150,"restaurants,wifi,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/flagstaffazsupercharger
False,Carl's Jr. - Gila Bend826 826 W Pima St.,,Gila Bend,AZ,"Gila Bend, AZ Supercharger",85337-3033,-112.734081,32.943675,"8,8","available 24/7,available 24/7","250,150","restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/gilabendsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/glendale9245
False,Westgate Entertainment District6755 West Brandon Lane,,Glendale,AZ,"Glendale, AZ Supercharger",85305,-112.262295,33.537198,16,available 24/7,250,"restaurants,shopping,lodging,beverage,restrooms",http://tesla.com/findus/location/supercharger/GlendaleAZSupercharger
True,,,Globe,AZ,,,,,,,,,http://tesla.com/findus/location/supercharger/GlobeAZsupercharger
False,Burger King Holbrook2096 Navajo Blvd,,Holbrook,AZ,"Holbrook, AZ Supercharger",86025-2100,-110.145558,34.922962,"8,4","available 24/7,available 24/7","250,150","restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/holbrooksupercharger
False,City of Kingman Visitor Center120  West Andy Devine Avenue #2,,Kingman,AZ,"Kingman, AZ - West Andy Devine Supercharger",86401,-114.059008,35.189401,16,available 24/7,250,"restaurants,lodging,beverage,restrooms",http://tesla.com/findus/location/supercharger/KingmanAZSupercharger2
False,Carl's Jr. Kingman789 W Beale St,,Kingman,AZ,"Kingman, AZ Supercharger",86401-5942,-114.065592,35.191331,"6,4","available 24/7,available 24/7","150,72","restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/kingmansupercharger
True,,,Mesa,AZ,,,,,,,,,http://tesla.com/findus/location/supercharger/MesaAZSupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/mesa7444
False,Shell Gas Station3906 West New River Road,,New River,AZ,"New River, AZ Supercharger",85087,-112.143564,33.914502,10,available 24/7,150,"restaurants,restrooms",http://tesla.com/findus/location/supercharger/newriverazsupercharger
False,Courtyard Page at Lake Powell 600 Clubhouse Drive,,Page,AZ,Page Supercharger,86040,-111.468041,36.924902,8,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/pagearizonasupercharger
False,Payson Village142 AZ-260,,Payson,AZ,"Payson, AZ Supercharger",85541,-111.322563,34.242214,12,available 24/7,150,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/paysonsupercharger
True,,,Phoenix,AZ,,,,,,,,,http://tesla.com/findus/location/supercharger/PhoenixAZQ322
False,Deer Valley Town Center2805 Agua Fria Fwy,,Phoenix,AZ,"Phoenix, AZ - Agua Fria Freeway Supercharger",85027-3938,-112.120898,33.667055,16,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/phoenixonesupercharger
False,,,,AZ,"Phoenix, AZ - East Camelback Road Supercharger",not available,-112.026803,33.511837,not available,not available,not available,"restaurants,wifi,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/phoenixsupercharger
False,,,,AZ,"Phoenix, AZ - East Mayo Boulevard Supercharger",not available,-111.927509,33.655304,not available,not available,not available,"restaurants,shopping,beverage",http://tesla.com/findus/location/supercharger/PhoenixAZsupercharger
False,,,,AZ,"Quartzsite, AZ Supercharger",not available,-114.241801,33.660784,not available,not available,not available,"restaurants,restrooms",http://tesla.com/findus/location/supercharger/quartzsitesupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/scottsdaleservice
False,Pima Crossing8740  East Shea Boulevard,,Scottsdale,AZ,"Scottsdale, AZ - East Shea Boulevard Supercharger",85260,-111.894959,33.582142,16,available 24/7,250,"restaurants,shopping,beverage",http://tesla.com/findus/location/supercharger/ScottsdaleAZSupercharger3
False,Scottsdale Quarter15059 N. Scottsdale Rd,,Scottsdale,AZ,"Scottsdale, AZ - N. Scottsdale Road Supercharger",85254-2421,-111.922986,33.623538,16,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/scottsdaleroadsupercharger
False,Kierland Commons15205 North Kierland Boulevard,,Scottsdale,AZ,"Scottsdale, AZ - North Kierland Blvd. Supercharger",85254,-111.930557,33.623202,8,available 24/7,72,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/scottsdalekierlandsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/fashionsquare
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/scottsdalekierlandcommons
False,The Collective Sedona7000 AZ-179,,Sedona,AZ,"Sedona, AZ Supercharger",86351,-111.76393,34.77556,14,available 24/7,72,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/sedonaazsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/southtucson
False,Tacna Shell Travel Center9250 South Avenue 40E,,Tacna,AZ,"Tacna, AZ Supercharger",95352,-113.953578,32.690622,8,available 24/7,250,restrooms,http://tesla.com/findus/location/supercharger/tacnaazsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/tempearizona
False,Arizona Mills Mall5000  South Arizona Mills Circle,,Tempe,AZ,"Tempe, AZ Supercharger",85282,-111.965416,33.378623,14,available 24/7,250,"restaurants,shopping,lodging,beverage",http://tesla.com/findus/location/supercharger/tempeazsupercharger
False,La Encantada2905 East Skyline Drive,,Tucson,AZ,"Tucson, AZ - East Skyline Drive Supercharger",85718,-110.931033,32.325618,10,available 24/7,72,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/tucsoneastskylinedrsupercharger
False,The Marketplace at Marana3844  West River Road,,Tucson,AZ,"Tucson, AZ - West River Road Supercharger",85741,-111.043891,32.323084,16,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/TucsonAZSupercharger2
False,Shell Gas Station and Convenience Store9255 S Rita Rd,,Tucson,AZ,"Tucson, AZ Supercharger",85747,-110.803381,32.083995,10,available 24/7,150,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/tucsonsupercharger
False,The Grand Hotel149 State Route 64,,Tusayan,AZ,"Tusayan, AZ Supercharger",86023,-112.127708,35.969454,12,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/tusayanazsupercharger
False,Shell12683 White Hills Road,,Willow Beach,AZ,"White Hills, AZ Supercharger",86445,-114.476495,35.700001,8,available 24/7,250,"restaurants,beverage,restrooms",http://tesla.com/findus/location/supercharger/whitehillsazsupercharger
